name,path,interpreter,sha256,main_bundle_exec,main_bundle_path,main_bundle_name,main_bundle_identifier,main_bundle_version,main_bundle_short_version_str,bundle_path,bundle_name,bundle_identifier,bundle_version,bundle_short_version_str,homebrew_package_name,homebrew_package_path,homebrew_package_description,homebrew_package_github,homebrew_package_homepage,homebrew_package_latest_stable_version,homebrew_keg_version,cert_sha256,cert_common_name,cert_organization,cert_organizational_unit,cert_valid_from,cert_valid_until
instruments,/Applications/Xcode.app/Contents/Developer/usr/bin,,5005e959f02558a8e361e1a9b9779c45d74cb789e6bfa9f2543a672e91f2d47e,0,/Applications/Xcode.app,Xcode,com.apple.dt.Xcode,13772,9.2,,instruments,com.apple.dt.InstrumentsCLI,63753,9.2,,,,,,,,2aa4b9973b7ba07add447ee4da8b5337c3ee2c3a991911e80e7282e8a751fc32,Software Signing,Apple Inc.,Apple Software,2013-04-12 22:34:35 +0000,2021-04-12 22:34:35 +0000
xcsbridge,/Applications/Xcode.app/Contents/Developer/usr/bin,,9b4f50343e4dc8201e70f70a81c1edbfdc61c484d9e928c856a62675c298a3e7,0,/Applications/Xcode.app,Xcode,com.apple.dt.Xcode,13772,9.2,,,,,,,,,,,,,2aa4b9973b7ba07add447ee4da8b5337c3ee2c3a991911e80e7282e8a751fc32,Software Signing,Apple Inc.,Apple Software,2013-04-12 22:34:35 +0000,2021-04-12 22:34:35 +0000
mapc,/Applications/Xcode.app/Contents/Developer/usr/bin,,39ecdfd1509d28b04a12834d4f45310696b99f0eded3f1201a0892eedd02b87e,0,/Applications/Xcode.app,Xcode,com.apple.dt.Xcode,13772,9.2,,,,,,,,,,,,,2aa4b9973b7ba07add447ee4da8b5337c3ee2c3a991911e80e7282e8a751fc32,Software Signing,Apple Inc.,Apple Software,2013-04-12 22:34:35 +0000,2021-04-12 22:34:35 +0000
CpMac,/Applications/Xcode.app/Contents/Developer/usr/bin,,290553d0e1b7eac27aa982053cc4cdb9660ef645a6b50646c421349c056c3ae2,0,/Applications/Xcode.app,Xcode,com.apple.dt.Xcode,13772,9.2,,,,,,,,,,,,,2aa4b9973b7ba07add447ee4da8b5337c3ee2c3a991911e80e7282e8a751fc32,Software Signing,Apple Inc.,Apple Software,2013-04-12 22:34:35 +0000,2021-04-12 22:34:35 +0000
svnmucc,/Applications/Xcode.app/Contents/Developer/usr/bin,,bc5878347f65824cbcb6a6817bb02e5d174fc79f2231cbd86451db0190afa64d,0,/Applications/Xcode.app,Xcode,com.apple.dt.Xcode,13772,9.2,,,,,,,,,,,,,2aa4b9973b7ba07add447ee4da8b5337c3ee2c3a991911e80e7282e8a751fc32,Software Signing,Apple Inc.,Apple Software,2013-04-12 22:34:35 +0000,2021-04-12 22:34:35 +0000
DeRez,/Applications/Xcode.app/Contents/Developer/usr/bin,,edf14bd820eda00ef2bf5706450a7e2b51867561f6e0f3d0cd50a986ee02a0dc,0,/Applications/Xcode.app,Xcode,com.apple.dt.Xcode,13772,9.2,,,,,,,,,,,,,2aa4b9973b7ba07add447ee4da8b5337c3ee2c3a991911e80e7282e8a751fc32,Software Signing,Apple Inc.,Apple Software,2013-04-12 22:34:35 +0000,2021-04-12 22:34:35 +0000
xcsdiagnose,/Applications/Xcode.app/Contents/Developer/usr/bin, /usr/bin/ruby,cd29277742f4250cccfe572d1a042bbe184154da1683d8d8fd3c9faafe02f86d,0,/Applications/Xcode.app,Xcode,com.apple.dt.Xcode,13772,9.2,,,,,,,,,,,,,,,,,,
amlint,/Applications/Xcode.app/Contents/Developer/usr/bin,/usr/bin/perl -w -CSDA,1f02706231748aad6c68c57e2206713fe2aa702b5c9866645efa6cc8bf547add,0,/Applications/Xcode.app,Xcode,com.apple.dt.Xcode,13772,9.2,,,,,,,,,,,,,,,,,,
actool,/Applications/Xcode.app/Contents/Developer/usr/bin,,84eca6c61602bebd3373db4e2a7f5afef4555d3519b99d88bd9da282354e08ca,0,/Applications/Xcode.app,Xcode,com.apple.dt.Xcode,13772,9.2,,,,,,,,,,,,,2aa4b9973b7ba07add447ee4da8b5337c3ee2c3a991911e80e7282e8a751fc32,Software Signing,Apple Inc.,Apple Software,2013-04-12 22:34:35 +0000,2021-04-12 22:34:35 +0000
heap,/Applications/Xcode.app/Contents/Developer/usr/bin,,95d03cfb9a6dc0075f073c63ee4d8e292dc499c05d94a9009e5e180aec7f18dc,0,/Applications/Xcode.app,Xcode,com.apple.dt.Xcode,13772,9.2,,SamplingTools,com.apple.SamplingTools,1.0,,,,,,,,,2aa4b9973b7ba07add447ee4da8b5337c3ee2c3a991911e80e7282e8a751fc32,Software Signing,Apple Inc.,Apple Software,2013-04-12 22:34:35 +0000,2021-04-12 22:34:35 +0000
simctl,/Applications/Xcode.app/Contents/Developer/usr/bin,,4806c2c9f34b22356262f8c33c675ba29066e531d3fec86ee2c7966cf87fd3f7,0,/Applications/Xcode.app,Xcode,com.apple.dt.Xcode,13772,9.2,,,com.apple.CoreSimulator.simctl,494.33,494.33,,,,,,,,2aa4b9973b7ba07add447ee4da8b5337c3ee2c3a991911e80e7282e8a751fc32,Software Signing,Apple Inc.,Apple Software,2013-04-12 22:34:35 +0000,2021-04-12 22:34:35 +0000
svnadmin,/Applications/Xcode.app/Contents/Developer/usr/bin,,316404863c20ad2db89215cd0fa2463db32bd070c5ed5b8901a6a8e1be7afa75,0,/Applications/Xcode.app,Xcode,com.apple.dt.Xcode,13772,9.2,,,,,,,,,,,,,2aa4b9973b7ba07add447ee4da8b5337c3ee2c3a991911e80e7282e8a751fc32,Software Signing,Apple Inc.,Apple Software,2013-04-12 22:34:35 +0000,2021-04-12 22:34:35 +0000
make,/Applications/Xcode.app/Contents/Developer/usr/bin,,78465ebc6ec183bba5466c8a1712205966bd3ce419d1a7eb90a24773766dba5e,0,/Applications/Xcode.app,Xcode,com.apple.dt.Xcode,13772,9.2,,,,,,,,,,,,,2aa4b9973b7ba07add447ee4da8b5337c3ee2c3a991911e80e7282e8a751fc32,Software Signing,Apple Inc.,Apple Software,2013-04-12 22:34:35 +0000,2021-04-12 22:34:35 +0000
